id,author,author-aux,author-orcid,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-type,number,pages,publisher,publtype,sub,sup,title,title-bibtex,tt,url,volume,year
39,Ulrike Schwall,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS177,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,LMT - Machine Translation Demonstration,,,,177,1991.0
40,Bernd Walter|Rudi Studer,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG3,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment,,,,3,1986.0
41,Albert Maier|Erich Gehlen|Michael Ley,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS154,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Sort Processing in a Deductive Database System,,,,154,1991.0
42,Bernd Walter|Thomas Ludwig 0001,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS150,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,EFTA: A Database Retrieval Algebra for Feature Terms,,,,150,1991.0
43,Toni Bollinger|Udo Pletat,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS165,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Knowledge in Operation,,,,165,1991.0
44,Christoph Beierle,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS163,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,An Overview on Planning Applications in PROTOS-L,,,,163,1991.0
45,Carola Eschenbach,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG34,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Über Ansätze zur Darstellung von Konzepten und Prototypen,,,,34,1988.0
46,Gert Smolka|Manfred Schmidt-Schauß,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS68,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Attributive Concept Descriptions with Unions and Complements,,,,68,1989.0
47,Hans-Joachim Goltz,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS166,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Ein praktischer Algorithmus für die E-Unifikation,,,,166,1991.0
48,Claus-Rainer Rollinger,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG5,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Simulation Sprachlichen Verstehens: Generelle Probleme bei der semantischen Interpretation der natürlichen Sprache,,,,5,1986.0
49,Otthein Herzog,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS126,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,The Institute for Knowledge Based Systems in the IBM Germany Scientific Center,,,,126,1990.0
50,Bernhard Beckert,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS208,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Konzeption und Implementierung von Gleichheit für einen tableau-basierten Theorem-Beweiser,,,,208,1992.0
51,Christoph Beierle|Stefan Böttcher,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS89,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,PROTOS-L: Towards a Knowledge Base Programming Language,,,,89,1989.0
52,Stefan J. Schierholz,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS212,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Syntaktische Informationseinheiten zu deutschen Adjektiven,,,,212,1992.0
53,Christoph Beierle|Udo Pletat,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG37,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,"On the Interpretation of Equality, Sorts, and Logic Programming",,,,37,1987.0
54,Birgit Wendholt,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS237,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,DInG - ein Domänen-orientierter Inkrementeller und Integrierter Generator für kohärente Texte,,,,237,1992.0
55,Gudrun Klose,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS180,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Prozedurale Semantik. Repräsentation der Sprechergegenwart.,,,,180,1991.0
56,Klaus Rehkämper|Michael Herweg|Mohammed Nadjib Khenkhar|Simone Pribbenow,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM8,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Elsaß-Wanderung für Linguisten: Exemplarische Analyse und Repräsentation eines Satzes aus einer Reisebeschreibung,,,,8,1988.0
57,Anja Theuner,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS220,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,"""Dictionary Dialog"" - Entwurf des Funktionsumfangs für eine Benutzerschnittstelle eines integrierten maschinellen/maschinenunterstützten Übersetzungssystems und prototypische Erstellung der Bildschirmfolge für die Funktion ""Semantische Relation""",,,,220,1992.0
58,Brigitte Bartsch-Spörl,,,,,,,,,,,,,,LILOG-Memo,tr/ibm/LILOGM4,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Zur Behandlung komplexer Objekte in LILOG,,,,4,1987.0
59,Peter H. Schmitt,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG26,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Computational aspects of three-valued logic,,,,26,1987.0
60,Christoph Beierle|Udo Pletat,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG38,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Semantics of Logic Programs with Equational Abstract Data Type Specifications,,,,38,1988.0
61,Claudia Maienborn,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS157,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Processing Spatial Knowledge in LILOG,,,,157,1991.0
62,Angelika Storrer|Brigitte Bläser|Ulrike Schwall,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS231,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,A Reusable Lexical Database Tool for Machine Translation,,,,231,1992.0
63,Esther König,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS146,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Der Lambek-Kalkül. Eine Logik für lexikalische Grammatiken,,,,146,1990.0
64,Claudia Mrotzek,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS199,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Parenthetische Konstruktionen des Deutschen.,,,,199,1991.0
65,Birgit Wesche,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS241,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Symmetric Coordination: An Alternative Theory of Phrase Structure,,,,241,1992.0
66,Rudi Studer|Stefan Börner,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG8,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,An Approach to Manage Large Inheritance Networks,,,,8,1987.0
67,Lutz Voelkel,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS159,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,On the Problem of Masking Special Errors by Serial Signature Analysis,,,,151,1999.0
68,Peter H. Schmitt,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG27,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Eine dreiwertige Logik zur Verarbeitung partieller Information,,,,27,1987.0
69,Stefan Böttcher,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS132,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,An Inference Engine for Function Free Logic Programs,,,,132,1990.0
70,Kai-Uwe Carstensen,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS190,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Aspekte der Generierung von Wegbeschreibungen,,,,190,1991.0
71,Martin Hübner|Ulrike Weiland,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS114,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Das Projekt EXCEPT: Expert-System for Computer-Aided Environmental Planning Tasks,,,,114,1990.0
72,Egon Börger|Peter H. Schmitt,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS144,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,A Formal Operational Semantics for PROLOG III: Using Dynamic Algebras,,,,144,1990.0
73,Michael Czymmeck,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS83,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Subsumtion für eine erweiterte attributive Sortenbeschreibungssprache,,,,83,1989.0
74,Michael Tarnowski,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS121,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Mathematische Grundlagen der formalen Linguistik - Ein Kompendium,,,,121,1990.0
75,Helmar Gust|Mechthild Rickheit|Petra Ludewig,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG29,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Die Struktur des Lexikons für LILOG,,,,29,1988.0
76,Kai von Luck|Martin Hübner|Ulrike Weiland,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS130,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Die Konzeption des EXCEPT-Systems: Ein Überblick,,,,130,1990.0
77,Elisabeth Neugebauer,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS210,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,"Richtungsangabe oder Wegkonnektor? Rämliches ""Zurück"" und seine Semantik",,,,210,1992.0
78,Mohammed Nadjib Khenkhar,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG19,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Vorüberlegungen zur depiktionalen Repräsentation räumlichen Wissens,,,,19,1988.0
79,Eric Mays|Sitaram Lanka,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS135,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,+,Fully Persistent B,,,,135,1990.0
80,Petra Maier,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG11,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Der modale Infinitiv: Syntaktische oder lexikalische Beschreibung?,,,,11,1987.0
81,Bruce G. Lindsay 0001|Michel E. Adiba,,,,,,,,,,,,,,"Research Report / RJ / IBM / San Jose, California",tr/ibm/RJ2772,2020-02-21,,"republished on ""ACM SIGMOD Anthology""",,,,,informal,,,Database Snapshots.,,,,RJ2772,1980.0
82,Birgit Wesche,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG23,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,"At Ease with ""AT""",,,,23,1987.0
83,Stefan Börner,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG10,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Datenbankunterstützung für wissensbasierte Systeme,,,,10,1987.0
84,Ewald Lang|Gudrun Klose|Thomas Pirlein,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS171,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,"Die Ontologie und Axiomatik der Wissensbasis von LEU/2 - Erfahrungen, Probleme, Ausblicke",,,,171,1991.0
85,Gerd Kortüm,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS162,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Temporales Schließen in einem natürlichsprachlichen System,,,,162,1991.0
86,Ipke Wachsmuth,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS91,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Zur intelligenten Organisation von Wissensbeständen in künstlichen Systemen,,,,91,1989.0
87,Christoph Beierle|Udo Pletat,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG7,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,The Semantics of Asserting and Retracting Clauses to Logic Programs,,,,7,1987.0
88,Christoph Beierle|Egon Börger,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS205,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Correctness Proof for the WAM,,,,205,1991.0
89,Birgit Wesche|Ingrid Renz,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG13,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Word Order and Focus Projection,,,,13,1987.0
90,Kai von Luck,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS106,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,KL-ONE: Eine Einführung,,,,106,1990.0
91,Stefan Böttcher,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS134,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Improving the Concurrency of Integrity Checks and Write Operations,,,,134,1990.0
92,Noam Paz,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS96,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Über Vergleichskonstruktionen,,,,96,1989.0
93,Kurt Eberle,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS192,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Ereignisse: Ihre Logik und Ontologie aus textsemantischer Sicht,,,,192,1991.0
94,Bernd Walter|Michael Ley,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS107,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Der LILOG-DB Fact Manager: Ein Datenbankkern zur Speicherung variabel strukturierter komplexer Objekte,,,,107,1989.0
95,,,,,,,,,,Frank Puppe|Hans Voß|Reinhold Haux|Rolf Engelbrecht|Thomas Wetter,,,,,IWBS Report,tr/ibm/IWBS112,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,"Wissensbasierte Systeme in der Medizin: GMDS/GI, Abstracts des 1. gemeinsamen Workshops der AG Expertensysteme der GMDS und der FG Diagnostik und Klassifikation im GI-Fachausschuß 1.5, 29.-30. März 1990, Heidelberg",,,,112,1990.0
96,Gregor Erbach,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS167,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,An Environment for Experimentation with Parsing Strategies,,,,167,1991.0
97,Christos Garidis,,,,,,,,,,,,,,LILOG-Report,tr/ibm/LILOG50,2017-06-08,,,,,,IBM Deutschland GmbH,informal,,,Logisches Clustering von PROTOS-L Prozeduren,,,,50,1988.0
98,Angelika Storrer|Jennifer Brundage|Maren Kresse|Ulrike Schwall,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS232,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Multiword Lexemes: A Monolingual and Contrastive Typology for NLP and MT,,,,232,1992.0
99,Toni Bollinger,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS182,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,A Model Elimination Calculus for Generalized Clauses,,,,182,1991.0
100,Eric Windisch|Stefan J. Schierholz,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS189,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Quantitative Analysen zu Wörterbüchern,,,,189,1991.0
101,Gregor Erbach,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS169,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,Lexical Representation of Idioms,,,,169,1991.0
102,Toni Bollinger|Udo Pletat,,,,,,,,,,,,,,IWBS Report,tr/ibm/IWBS156,2017-06-08,,,,,,"IBM Germany Science Center, Institute for Knowledge Based Systems",informal,,,The LILOG Knowledge Representation System,,,,156,1991.0
