"id","author","author-aux","author-orcid","booktitle","cdate","cdrom","cite","cite-label","crossref","editor","editor-orcid","ee","ee-type","i","journal","key","mdate","month","note","note-type","number","pages","publisher","publtype","sub","sup","title","title-bibtex","tt","url","volume","year"
"310","Marco Fahl","","","","","","","","","","","http://www.mathematik.uni-trier.de/preprints/About/FoMaInf_13.html","archive","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI99-13","2019-05-27","","","","","","","informal","","","Computation of PODs for Fluid Flows with Lanczos Methods","","","","99-13","1999"
"313","Christoph Meinel|Randal E. Bryant","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI02-20","2017-06-08","","","","","","","informal","","","Ordered Binary Decision Diagrams in Electronic Design Automation","","","","02-20","2002"
"315","Christoph Meinel|Elena Dubrova|Harald Sack","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI99-27","2017-06-08","","","","","","","informal","","","Mod-p Decision Diagrams: A Data Structure for Multiple-Valued Functions.","","","","99-27","1999"
"317","Dieter Baum","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI95-04","2017-06-08","","","","","","","informal","","","Zur strukturellen Stabilität von Kommunikationssystemen - Eine kurze Einführung in die Grundlagen","","","","95-04","1995"
"318","Christian Stangier|Christoph Meinel","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI98-23","2017-06-08","","","","","","","informal","","","Increasing Efficiency of Symbolic Model Checking by Accelerating Dynamic Variable Reordering","","","","98-23","1998"
"325","M. Nast|Reiner Horst","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI96-01","2017-06-08","","","","","","","informal","","","Linearly Constrained Global Minimization of Functions with Concave Minorants","","","","96-01","1996"
"326","János Sztrik|Oliver Möller","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI99-06","2017-06-08","","","","","","","informal","","","Stochastic Simulation of Markov Modulated Finite-Source Queues","","","","99-06","1999"
"328","Arno Wagner|Christoph Meinel|Harald Sack","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI01-09","2017-06-08","","","","","","","informal","","","WWW.BDD-PORTAL.ORG: An Experimentation Platform for Binary Decision Diagram Algorithms","","","","01-09","2001"
"330","Richard Rödler","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI98-16","2017-06-08","","","","","","","informal","","","Stochastic Modeling of Server Capacity Utilization by Geometric Sums","","","","98-16","1998"
"391","Alexander Kaplan|Rainer Tichatschke","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI02-22","2017-06-08","","","","","","","informal","","","Weak Error Tolerance Criterion in Generalized Proximal Methods","","","","02-22","2002"
"396","Klaus Jansen|Petra Scheffler","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI92-08","2017-06-08","","","","","","","informal","","","Generalized Coloring for Tree-like Graphs","","","","92-08","1992"
"399","Subhendu Bikash Hazra|Volker Schulz 0001","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI02-12","2020-08-21","","","","","","","informal","","","Numerical Parameter Identification in Non-isothermal Multiphase Multicomponent Flow through Porous Media","","","","02-12","2002"
"401","Ulrich Hertrampf","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI96-07","2017-06-08","","","","","","","informal","","","On the Acceptance Power of Groups and Semigroups","","","","96-07","1996"
"403","Alexander Kaplan|Rainer Tichatschke","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI01-01","2017-06-08","","","","","","","informal","","","Non-quadratic Proximal Regularization with Application to Variational Inequalities in Hilbert Spaces","","","","01-01","2001"
"405","Christoph Meinel|Mikail Gevantmakher","","","","","","","","","","","","","","Universität Trier, Mathematik/Informatik, Forschungsbericht","tr/trier/MI04-04","2017-06-08","","","","","","","informal","","","TI-jPACS - eine frei verfügbare leistungsfähige Plattform zur medizinischen Bildverarbeitung und -visualisierung","","","","04-04","2004"
